Sample	Polarity	Peak ID	Lipid name	RT (min)	Precursor m/z	Height	Area	Adduct	Formula	Ontology	InChIKey	Annotation tag	m/z matched	MS/MS matched	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N
VZ0000099_PL_Pos	POS	9661	Cer 62:1;O2|Cer 40:1;O2/22:0	14.612	622.61328	13150676	59045334	[M+H]+	C40H79NO3	Cer_NS	KEPQASGDXIEOIL-LAPDZXRHNA-N	410	True	True	0.848	0.931	0.898	5.00	2.00	2.552	1090.99
VZ0000099_PL_Pos	POS	9679	HexCer-NS d42:1; HexCer-NS d18:1/24:0; [M+H]+	14.627	812.69757	12488967	53194453	[M+H]+	C48H93NO8	GlcCer_NS	POQRWMRXUOPCLD-MHAUTQJVNA-N	430	True	True	0.860	0.846	0.913	6.00	0.75	1.739	135.85
VZ0000099_PL_Pos	POS	9682	HexCer-NS d44:4; HexCer-NS d22:2/22:2; [M+H]+	14.627	834.67957	5934041	25284190	[M+H]+	C50H91NO8	GlcCer_NS	LQEOPOHCGQMNSW-KIRGYTSSNA-N	430	True	True	0.191	0.987	0.291	3.00	0.43	1.146	278.12
VZ0000099_PL_Pos	POS	9699	SM 68:1;O2|SM 43:1;O2/25:0	14.671	829.71558	12944725	52797523	[M+H]+	C48H97N2O6P	SM	JONXXLXMISNQNG-OHYVAXEENA-N	410	True	True	0.939	0.840	0.853	3.00	2.00	2.532	466.99
VZ0000099_PL_Pos	POS	9719	PC O-62:0	14.714	804.68457	1172680	5053300	[M+H]+	C46H94NO7P	EtherPC	STVOJBHAFRLHOX-UHFFFAOYNA-N	420	True	True	0.872	0.866	0.914	2.00	1.00	1.907	54.11
VZ0000099_PL_Pos	POS	9721	PC O-68:4	14.724	856.71497	4621807	21607323	[M+H]+	C50H98NO7P	EtherPC	KRWFRQWHXGQUEP-FDGVQLEBNA-N	420	True	True	0.954	0.919	0.921	3.00	1.00	1.938	60.38
VZ0000099_PL_Pos	POS	9739	PC O-66:2	14.746	830.69946	1829131	7832527	[M+H]+	C48H96NO7P	EtherPC	ITUHKLLMNCLEGB-FCQUAONHNA-N	420	True	True	0.944	0.923	0.914	2.00	1.00	1.934	56.67
VZ0000099_PL_Pos	POS	9765	PC O-70:8	14.782	880.71503	6572669	29053604	[M+H]+	C52H98NO7P	EtherPC	GTIRUFCESMRLNB-XXXLRELONA-N	420	True	True	0.953	0.924	0.915	2.00	1.00	1.937	348.47
VZ0000099_PL_Pos	POS	9805	PC O-68:4	14.860	856.71484	2387246	11005433	[M+H]+	C50H98NO7P	EtherPC	KRWFRQWHXGQUEP-FDGVQLEBNA-N	420	True	True	0.955	0.925	0.924	3.00	1.00	1.941	31.19
VZ0000099_PL_Pos	POS	9812	Cer 64:1;O2|Cer 41:1;O2/23:0	14.872	636.62903	15438915	67301488	[M+H]+	C41H81NO3	Cer_NS	NAJHAHQNQCNWOP-JMUUFCRMNA-N	410	True	True	0.869	0.913	0.936	6.00	2.00	2.569	2481.41
VZ0000099_PL_Pos	POS	9835	SM 70:1;O2|SM 44:1;O2/26:0	14.908	843.73096	3141815	16710642	[M+H]+	C49H99N2O6P	SM	VRAWSAPVSSLIRI-MZBAEZDSNA-N	410	True	True	0.924	0.812	0.852	3.00	2.00	2.523	295.12
VZ0000099_PL_Pos	POS	9838	PC 42:1	14.908	872.71039	923626	4718860	[M+H]+	C50H98NO8P	PC	RPFJUYGHQKYVGN-HFTWOUSFNA-N	420	True	True	0.877	0.883	0.843	4.00	1.00	1.881	20.58
VZ0000099_PL_Pos	POS	9872	Cer 70:3;O2|Cer 44:2;O2/26:1	15.066	676.66058	837793	3470074	[M+H]+	C44H85NO3	Cer_NS	IBJXLRPUPQTCQS-SJWJHEOENA-N	410	True	True	0.649	0.723	0.920	6.00	2.00	2.474	120.18
VZ0000099_PL_Pos	POS	9952	PC O-66:0	15.150	832.71588	857834	3283409	[M+H]+	C48H98NO7P	EtherPC	ITGOEGIYGVMMLZ-UHFFFAOYNA-N	420	True	True	0.932	0.917	0.924	3.00	1.00	1.935	60.52
VZ0000099_PL_Pos	POS	9961	TAG 60:17; TAG 20:5-20:6-20:6; [M+NH4]+	15.163	958.69104	750156	3791378	[M+NH4]+	C63H88O6	TAG	IABFRFXMTMKFSI-KUQSJCDCNA-N	430	True	True	0.295	0.363	0.919	2.00	0.50	1.355	135.93
VZ0000099_PL_Pos	POS	9974	PC O-68:2	15.187	858.73059	1238211	6514919	[M+H]+	C50H100NO7P	EtherPC	DFTDMUXGCKHSNW-VHXPQNKSNA-N	420	True	True	0.939	0.915	0.915	2.00	1.00	1.931	62.39
VZ0000099_PL_Pos	POS	10032	TAG 46:4; TAG 12:1-16:1-18:2; [M+NH4]+	15.311	788.67645	855689	6886772	[M+NH4]+	C49H86O6	TAG	QHMNVTLWAJRMCH-INTHUXMANA-N	430	True	True	0.391	0.489	0.971	5.00	1.00	1.747	14.97
VZ0000099_PL_Pos	POS	10054	PC O-66:0	15.358	832.70245	213259	1470078	[M+H]+	C48H98NO7P	EtherPC	ITGOEGIYGVMMLZ-UHFFFAOYNA-N	420	True	True	0.932	0.917	0.924	3.00	1.00	1.796	22.38
VZ0000099_PL_Pos	POS	10067	TAG 52:8; TAG 14:1-18:2-20:5; [M+NH4]+	15.388	864.70709	500840	4697757	[M+NH4]+	C55H90O6	TAG	AFKYWJXVOYHIGI-GIXUHSHYNA-N	430	True	True	0.192	0.271	0.910	4.00	0.80	1.502	25.65
VZ0000099_PL_Pos	POS	10082	TAG 48:5; TAG 12:0-18:2-18:3; [M+NH4]+	15.413	814.69244	845681	5865805	[M+NH4]+	C51H88O6	TAG	YZANCBPXEDSKLC-QYLYPNSDNA-N	430	True	True	0.408	0.529	0.922	3.00	0.60	1.482	26.76
VZ0000099_PL_Pos	POS	10085	TAG 54:9; TAG 16:1-18:4-20:4; [M+NH4]+	15.428	890.72314	820331	5517858	[M+NH4]+	C57H92O6	TAG	DGKQHDGKKXUCLY-KRFPOUBNNA-N	430	True	True	0.235	0.362	0.929	4.00	0.80	1.540	820330.70
VZ0000099_PL_Pos	POS	10098	TAG 60:13; TAG 18:2-20:5-22:6; [M+NH4]+	15.476	966.75549	700702	4508193	[M+NH4]+	C63H96O6	TAG	BJXQMCNNNOSANE-DQJAMYFDNA-N	430	True	True	0.308	0.437	0.940	5.00	1.00	1.705	81.41
VZ0000099_PL_Pos	POS	10125	Cer 70:1;O2|Cer 44:1;O2/26:0	15.531	678.67609	2094145	12046423	[M+H]+	C44H87NO3	Cer_NS	CJROVRTUSFQVMR-NHFVQZBWNA-N	410	True	True	0.673	0.722	0.947	7.00	2.00	2.491	373.60
VZ0000099_PL_Pos	POS	10137	TAG 56:10; TAG 18:2-18:3-20:5; [M+NH4]+	15.531	916.73871	1939907	18252656	[M+NH4]+	C59H94O6	TAG	AAFWHBKWHROFLW-KFODQXHWNA-N	430	True	True	0.314	0.459	0.931	3.00	0.60	1.450	1939907.00
VZ0000099_PL_Pos	POS	10150	TAG 42:1; TAG 12:0-14:0-16:1; [M+NH4]+	15.565	738.66107	7853394	36951985	[M+NH4]+	C45H84O6	TAG	IUNZHNOOEWTPAO-GYHWCHFENA-N	430	True	True	0.213	0.256	0.946	3.00	0.60	1.392	448.29
VZ0000099_PL_Pos	POS	10170	TAG 44:2; TAG 12:1-16:0-16:1; [M+NH4]+	15.588	764.67621	10912611	56291965	[M+NH4]+	C47H86O6	TAG	UTECLCAHHWGWFP-OPUQQSENNA-N	430	True	True	0.212	0.273	0.913	3.00	0.60	1.380	2508.25
VZ0000099_PL_Pos	POS	10173	TAG 46:2; TAG 12:0-16:1-18:1; [M+NH4]+	15.588	792.70807	4346778	22294525	[M+NH4]+	C49H90O6	TAG	CAYDSUAPNUSUKZ-UHCXZRFGNA-N	430	True	True	0.243	0.378	0.944	3.00	0.60	1.423	313.78
VZ0000099_PL_Pos	POS	10176	TAG 50:6; TAG 16:1-16:3-18:2; [M+NH4]+	15.588	840.70740	1554565	16642294	[M+NH4]+	C53H90O6	TAG	HTHKWDUJCFHQAD-SUXYAVGPNA-N	430	True	True	0.273	0.377	0.945	4.00	0.80	1.558	14.27
VZ0000099_PL_Pos	POS	10185	TAG 58:11; TAG 18:2-20:4-20:5; [M+NH4]+	15.599	942.75470	5511742	38392604	[M+NH4]+	C61H96O6	TAG	OZIOZVQLZWUEAB-IGQFUTKPNA-N	430	True	True	0.375	0.567	0.935	4.00	0.80	1.617	5511742.00
VZ0000099_PL_Pos	POS	10195	TAG 46:3; TAG 12:0-16:1-18:2; [M+NH4]+	15.609	790.69232	4949909	39726164	[M+NH4]+	C49H88O6	TAG	HSKLWXMZFJQIGF-XPHXRIBMNA-N	430	True	True	0.566	0.697	0.946	4.00	0.80	1.691	184.01
VZ0000099_PL_Pos	POS	10202	TAG 48:3; TAG 14:1-16:1-18:1; [M+NH4]+	15.622	818.72260	1653750	17106369	[M+NH4]+	C51H92O6	TAG	OOYLUKXGXKESLP-AWXSRFPGNA-N	430	True	True	0.360	0.483	0.934	3.00	0.60	1.466	57.74
VZ0000099_PL_Pos	POS	10213	TAG 52:7; TAG 14:0-18:2-20:5; [M+NH4]+	15.632	866.72308	3445702	44295857	[M+NH4]+	C55H92O6	TAG	WXFNJBNSRDNXCG-QUWPIPCFNA-N	430	True	True	0.346	0.481	0.895	4.00	0.80	1.575	59.54
VZ0000099_PL_Pos	POS	10227	TAG 48:4; TAG 14:1-16:1-18:2; [M+NH4]+	15.668	816.70740	8318003	67338007	[M+NH4]+	C51H90O6	TAG	XGEWREGBBAUDOC-SYVMOJDTNA-N	430	True	True	0.250	0.314	0.948	3.00	0.60	1.412	185.30
VZ0000099_PL_Pos	POS	10231	TAG 54:8; TAG 16:2-18:2-20:4; [M+NH4]+	15.668	892.73834	7775384	62127503	[M+NH4]+	C57H94O6	TAG	NLOGAQXDESAMIW-WTMNGOSUNA-N	430	True	True	0.185	0.265	0.938	3.00	0.60	1.383	251.09
VZ0000099_PL_Pos	POS	10234	TAG 50:6; TAG 16:0-16:4-18:2; [M+NH4]+	15.677	840.70740	1540148	8668194	[M+NH4]+	C53H90O6	TAG	WBNOALFKTMFIPH-ODIVATIBNA-N	430	True	True	0.229	0.308	0.923	4.00	0.80	1.525	194.71
VZ0000099_PL_Pos	POS	10261	TAG 60:12; TAG 18:2-20:4-22:6; [M+NH4]+	15.723	968.77032	4749519	26052185	[M+NH4]+	C63H98O6	TAG	JNAYAUJVUOIRIJ-NYHJHCNSNA-N	430	True	True	0.151	0.227	0.918	3.00	0.60	1.360	579.21
